state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,AKKO,ABBAKALU,10.198805,11.264413,KALSHINGI,ABBAKALU,1160110001,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,59,45,104
GOMBE,AKKO,AKKO PRIMARY SCHOOL,10.301377,10.925292,AKKO,ALONG BAUCHI ROAD,1160110002,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,433,385,818
GOMBE,AKKO,AKKOYEL  PRIMARY SCHOOL,10.047153,11.221145,KUMO EAST,"BEHING EMIRS PALACE KUMO, AKKOYEL",1160110003,Pre-Primary and Primary,Urban,Regular,Yes,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,849,799,1648
GOMBE,AKKO,ARAWA PRIMARY SCHOOL,10.31618,11.175,GONA,ALONG KUNDULUM ROAD,1160110004,Pre-Primary and Primary,Rural,Regular,Yes,Other,No Health facility,No,No,No,2020/2021,675,781,1456
GOMBE,AKKO,ARDO KADIRI  PRIMARY SCHOOL,10.039988,11.283355,KUMO EAST,ARDO KADIRI,1160110005,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,125,77,202
GOMBE,AKKO,ALAGARNO PRIMARY SCHOOL,10.110707,10.968952,TUKULMA,ADJACENT JAURO'S RESIDENCE,1160110006,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,95,75,170
GOMBE,AKKO,BADARA PRIMARY SCHOOL,,,KASHERE,NEAR HEALTH CLINIC BADARA,1160110007,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,148,51,199
GOMBE,AKKO,GARIN BABADIDI PRIMARY SCHOOL,10.317705,11.16499,GARKO,ARAWA ALKAHIRA,1160110008,Pre-Primary and Primary,Urban,Regular,Yes,Borehole,First Aid Kit,No,Yes,Yes,2020/2021,625,506,1131
GOMBE,AKKO,BANGU    PRIMARY SCHOOL,10.054282,11.234247,KUMO EAST,BESIDE BANGU CHURCH  ALONG KUMO-JAURO GALE ROAD,1160110009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,134,154,288
GOMBE,AKKO,BARRI PRIMARY SCHOOL,10002004.0,111006610.0,KUMO WEST,BARRI,1160110010,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,115,38,153
GOMBE,AKKO,BARUNDE PRIMARY SCHOOL,10.265678,11.1887,GARKO,BEHIND RAINOIL OIL,1160110011,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,728,678,1406
GOMBE,AKKO,BARAMBU PRIMARY SCHOOL,10.124883,11.180088,GARKO,OFF GARKO KALSHINGI,1160110012,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,104,49,153
GOMBE,AKKO,BAPPA IBRAHIM PRIMARY SCHOOL,10.21489,11.74325376,KUMO WEST,BAPPA IBRAHIM,1160110013,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,No,Yes,Yes,2020/2021,170,42,212
GOMBE,AKKO,BETO PRIMARY SCHOOL,10.3128,11.1904,GARKO,AREWA B. ALONG TUKULMAYEL VILLAGE,1160110014,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,299,317,616
GOMBE,AKKO,BOGO SCIENCE PRIMARY SCHOOL,10.1622,11.1233,GARKO,"BCGA BOGO, GOMBE BIU ROAD",1160110015,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,1006,964,1970
GOMBE,AKKO,BOLTONGOYEL                    PRIMARY SCHOOL,7.16736,12.1662,KUMO EAST,BOLTONGOYEL,1160110016,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,45,35,80
GOMBE,AKKO,BOMALA  PRIMARY SCHOOL,10.24714,11.17072,GARKO,BOMALA,1160110017,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,852,579,1431
GOMBE,AKKO,BULA PRIMARY SCHOOL,10.361191,10.98771,AKKO,ALONG EMIR'S PALACE,1160110018,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,805,781,1586
GOMBE,AKKO,BARRI KASHERE  PRIMARY SCHOOL,9.884159,9.966167,KASHERE,BARRI KASHERE,1160110019,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,432,224,656
GOMBE,AKKO,CHILO UMARU PRIMARY SCHOOL,10.085962,11.291372,KALSHINGI,CHILO UMARU,1160110020,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,188,75,263
GOMBE,AKKO,CHILO MAMUDA,10.097492,11.292385,KALSHINGI,CHILO MAMUDA,1160110021,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,197,66,263
GOMBE,AKKO,CHILO WAZIRI,10.105358,11.28709,KALSHINGI,CHILO WAZIRI,1160110022,Pre-Primary and Primary,Rural,Regular,No,Other,First Aid Kit,No,No,No,2020/2021,231,106,337
GOMBE,AKKO,CENTRAL PRIMARY SCHOOL KUMO,10.2573,11.124297,KUMO CENTRAL,ALONG EMIRS DRIVE KUMO,1160110023,Pre-Primary and Primary,Urban,Regular,No,Other,First Aid Kit,No,No,No,2020/2021,1651,1765,3416
GOMBE,AKKO,DAMBA GARKO  PRIMARY SCHOOL,10.42566,11.162512,GARKO,WURO MIRI,1160110024,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,Yes,2020/2021,15,10,25
GOMBE,AKKO,DAGARAWO PRIMARY SCHOOL,,,AKKO,NEAR IHYAUL SUNNA DAGARAWO,1160110025,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,139,58,197
GOMBE,AKKO,DAKKITI,10.175503,11.047759,TUKULMA,DAKKITI,1160110026,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,135,85,220
GOMBE,AKKO,DIDEL  PRIMARY SCHOOL,10.006823,11.276025,KUMO EAST,ALONG KEMBU ROAD,1160110027,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,230,135,365
