state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,BALANGA,L.I.P PRIMARY SCHOOL TALASSE,9.9,11.68,TALASSE DONG REME,"NEAR OLD MOTOR PARK, TALASSE",1160210001,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,274,266,540
GOMBE,BALANGA,GELENGU,,,GBELENGU BALANGA,NEAR ECWA CHURCH CLINIC GELENGU,1160210002,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,263,260,523
GOMBE,BALANGA,NYUWAR,9.465485,11.459216,NYUWAR JESSU,NYUWAR,1160210003,Pre-Primary and Primary,Rural,Regular,No,Other,First Aid Kit,No,Yes,No,2020/2021,270,282,552
GOMBE,BALANGA,DADIYA,9.697045,11.516769,DADIYA HILL,DADIYA,1160210004,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,318,265,583
GOMBE,BALANGA,PILOT SCIENCE PRIMARY SCHOOL CHAM,9.422595,11.423781,KINDIYO,ALONG GOMBE YOLA ROAD OPPOSITE POLICE STATION CHAM,1160210005,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,No,2020/2021,391,271,662
GOMBE,BALANGA,MWONA,9.9717,11.673919,MWONA,MWONA,1160210006,Pre-Primary and Primary,Rural,Regular,No,Other,First Aid Kit,No,No,No,2020/2021,242,320,562
GOMBE,BALANGA,PUTOKI      PRIMARY SCHOOL,,,DEGRI,PUTOKI,1160210007,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,Yes,Yes,No,2020/2021,228,208,436
GOMBE,BALANGA,BAMABAM,9.69,11.539,BAMABAM,BAMABAM,1160210008,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,360,310,670
GOMBE,BALANGA,JESSU,9.44,11.47,NYUWAR JESSU,JESSU,1160210009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,133,145,278
GOMBE,BALANGA,BAKASI PRIMARY SCHOOL,9.981985,11.491634,GELENGU BALANGA,ALONG OLD BALANGA ROAD YIA BALAMSANE,1160210010,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,No,2020/2021,129,139,268
GOMBE,BALANGA,BANGU,95737.0,114451.0,BANGU DALAWAJA LAFIYA,BANGU,1160210011,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,500,499,999
