state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,BILLIRI,CENTRAL PILOT SCIENCE PRIMARY SCHOOL,9.888409,11.211799,BILLIRI SOUTH,BILLIRI    NEAR ECWA NO1,1160310001,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,1576,1413,2989
GOMBE,BILLIRI,WOMEN EDUCATION CENTRE NURSERY AND PRIMARY SCHOOL BILLIRI,9.89864,11.21897,BILLIRI SOUTH,NEAR GENERAL HOSPITAL BILLIRI,1160310002,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,730,737,1467
GOMBE,BILLIRI,KALMAI,11.21572,9.881572,KALMAI,KALMAI      ALONG DOWN TOWN HOTEL KALMAI,1160310003,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,334,369,703
GOMBE,BILLIRI,AMTAWALAM   PRIMARY SCHOOL,,,KALMAI BILLIRI,AMTAWALAM     BILLIRI LOCAL EDUCATION AUITHORITY,1160310004,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,152,177,329
GOMBE,BILLIRI,POBAWURE P.S.,,,KALMAI WARD,POBAWURE     ALONG KASHERE ROAD,1160310005,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,Yes,No,2020/2021,318,364,682
GOMBE,BILLIRI,KWIBAH    PRIMARY SCHOOL,9.956294,11.159143,,KWIBAH,1160310006,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,Yes,No,Yes,2020/2021,280,293,573
GOMBE,BILLIRI,DONGOL PRIMARY SCHOOL,9.9424489,11.115342,BILLIRI NORTH,DONGOL,1160310007,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,115,109,224
GOMBE,BILLIRI,LAUKEKEREK PRIMARY SCHOOL,9.92895,11.12127,KALMAI BILLIRI,LAUKEREK,1160310008,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,55,54,109
GOMBE,BILLIRI,KWILAPANDI PRIMARY SCHOOL,9.951572,11.142238,BILLIRI SOUTH,KWILAPANDI,1160310009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,106,126,232
GOMBE,BILLIRI,LAMIDO NOMADIC PRIMARY SCHOOL,9.885447,11.2136,KALMAI,"LABERFITO, POBAWURE",1160310010,Pre-Primary and Primary,Rural,Nomadic (Migrants),No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,81,95,176
