state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,DUKKU,ALAGARNO DOKORO,10.88166,10.842152,JAMARI WARD,"ALONG GUDU MUNU ROAD, ALAGARNO DOKORO",1160410001,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,125,75,200
GOMBE,DUKKU,ALAGARNO W/TALE,10.904012,10.666838,WURO TALE,"ALONG GOMBE ABBA ROAD, ALAGARNO W/TALE",1160410002,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,125,76,201
GOMBE,DUKKU,ALKALERI PRIMARY SCHOOL,11.025489,10.677004,LAFIYA TALE,ALKALERI,1160410003,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,Yes,No,2020/2021,101,50,151
GOMBE,DUKKU,ANCHAU PRIMARY SCHOOL,10.912361,10.642585,HASHIDU,ANCHAU VILLAGE,1160410004,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,75,86,161
GOMBE,DUKKU,ALANI PRIMARY SCHOOL,10.816008,11.765032,WAZIRI SOUTH,"ALONG KANO ROAD UNGUWAN BAUCHI  QUARTERS DUKKU, ALANI",1160410006,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,No,Yes,2020/2021,184,145,329
GOMBE,DUKKU,BAGADAZA PRIMARY SCHOOL,10.539442,10.885537,ZANGE,"BAGADAZA, ALONG GUSHO ROAD",1160410009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,52,44,96
GOMBE,DUKKU,BALAJE,10.65,10.799,ZANGE,along jombo wajjuru road,1160410010,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,144,137,281
GOMBE,DUKKU,BALU PRIMARY SCHOOL,,,WAZIIRI NORTH DUKKU,"JAMARI STREET DUKKU, BALU",1160410011,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,177,160,337
GOMBE,DUKKU,BANIGAYI PRIMARY SCHOOL,10.762609,11.860283,ANGUWAR SARKI,ALONG EMIRS PALACE MUHAMMADU LAMIDO WAY NEAR CENTRAL MOSQUE,1160410012,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,50,52,102
GOMBE,DUKKU,BAWA ZEGO PRIMARY SCHOOL,10.413655,10.301074,GOMBE ABBA,"OPPOSITE BOHOLE ALONG ZEGO ROAD, BAWA ZEGO",1160410013,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,Yes,Yes,2020/2021,168,133,301
GOMBE,DUKKU,BAKUNDI PRIMARY SCHOOL,1074156.0,1086592.0,WAZIRI SOUTH,"ALONG EMIRS PALACE JAURO SALE ROAD, OPPOSITE CENTRAL MOSQUE",1160410014,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,45,29,74
GOMBE,DUKKU,BALURU,10.81,10.78,WAZIRI SOUTH,ALONG BAJOGA ROAD BALURU,1160410015,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,71,79,150
GOMBE,DUKKU,BIRISHE PRIMARY SCHOOL,11.045,10.73,MALALA,"ALONG  MALALA BUKARI ROAD, BIRISHE",1160410016,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,100,36,136
GOMBE,DUKKU,BIRNI,10.73,10.81,WAZIRI SOUTH,BIRNI,1160410017,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,52,48,100
GOMBE,DUKKU,BOKKIRU PRIMARY SCHOOL,10.426768,10.913317,DUKKU,BOKKIRU ALONG ZANGE ROAD,1160410018,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,112,110,222
GOMBE,DUKKU,BOZONSHILWA PRIMARY SCHOOL,10.3815,10.56877,JAURO UMAR,ALONG GOMBE MAIN RONDBOZONSHILWA,1160410019,Pre-Primary and Primary,Rural,Regular,Yes,Borehole,First Aid Kit,No,Yes,No,2020/2021,279,190,469
GOMBE,DUKKU,BULBUL PRIMARY,10.778719,10.8,WAZIRI SOUTH,ALONG GOMBE ROAD BULBUL,1160410020,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,72,66,138
GOMBE,DUKKU,BURARI  PRIMARY SCHOOL,11.069,10.72,MALALA,HANYAN ZAUNE BURARI,1160410021,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,139,93,232
