state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,FUNAKAYE,BAJOGA CENTRAL PRIMARY SCHOOL,10.5114311,11.2539881,BAJOGA WEST,BAJOGA  TOWN,1160510001,Pre-Primary and Primary,Urban,Regular,Yes,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,1854,1173,3027
GOMBE,FUNAKAYE,BAJOGA II   SCIENCE PRIMARY SCHOOL,10.860117,11.429377,BAJOGA WEST,BAJOGA,1160510002,Pre-Primary and Primary,Urban,Regular,Yes,Borehole,First Aid Kit,No,Yes,No,2020/2021,1227,790,2017
GOMBE,FUNAKAYE,CENTRAL PRIMARY SCHOOL TONGO,10.709022,11.352277,TONGO WARD,TONGO,1160510003,Pre-Primary and Primary,Urban,Regular,No,Borehole,First Aid Kit,Yes,No,No,2020/2021,1378,579,1957
GOMBE,FUNAKAYE,SIDDIKIYO PRIMARY SCHOOL NOMADIC,10.722447,11.311688,TILDE/BODOR,SIDDIKIYO NEAR VILLAGE HEAR,1160510004,Pre-Primary and Primary,Rural,Nomadic (Migrants),No,No Source of Safe Water,No Health facility,Yes,Yes,Yes,2020/2021,90,52,142
GOMBE,FUNAKAYE,BUNGUM   PRIMARY SCHOOL,11002230.0,11425728.0,BAGE WARD BAJOGA,BUNGUM,1160510005,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,No,2020/2021,205,142,347
GOMBE,FUNAKAYE,BADABDI PRIMARY SCHOOL,,,BAGE,BADABDI,1160510006,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,279,217,496
GOMBE,FUNAKAYE,KERZIKI PRIMARY SCHOOL,11.02262,11.440732,BAGE,KERZIKI,1160510007,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,82,68,150
GOMBE,FUNAKAYE,JARKUM PRIMARY SCHOOL,10.23,11.44,JILLAHI,JARKUM,1160510008,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,62,56,118
GOMBE,FUNAKAYE,SALERI PRIMARY SCHOOL,10.462685,11.2052002,TILDE/BODOR,SALERI PATWAY,1160510009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,141,117,258
GOMBE,FUNAKAYE,JUMBOR PRIMARY SCHOOL,11.014502,11.394165,BAGE,JUMBOR,1160510010,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,Yes,No,Yes,2020/2021,126,112,238
GOMBE,FUNAKAYE,MANNARI PRIMARY SCHOOL,10.835698,11.505685,ASHAKA MAGABA,MANNARI,1160510011,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,Health Clinic,Yes,No,No,2020/2021,331,202,533
GOMBE,FUNAKAYE,FESHINGO  PRIMARY SCHOOL,10.915863,11.467268,BAGE WARD BAJOGA,FESHINGO,1160510012,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,795,480,1275
GOMBE,FUNAKAYE,JAGABARI PRIMARY SCHOOL,,,JILLAHI,JAGABARI,1160510013,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,123,109,232
GOMBE,FUNAKAYE,DAYAYI    MODEL PRIMARY SCHOOL ASHAKA,10.285146,11.172121,ASHAKA MAGABA,ALONG JALINGA BAJOGA ROAD,1160510014,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,No,No,No,2020/2021,655,541,1196
GOMBE,FUNAKAYE,WURO ARSI PRIMARY SCHOOL,10.806,11.24,JILLAHI,WUROARSI,1160510015,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,24,18,42
GOMBE,FUNAKAYE,BODOR PRIMARY SCHOOL,,,TILDE/BODOR,BODOR,1160510016,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,621,326,947
GOMBE,FUNAKAYE,DANDASO  PRIMARY SCHOOL,10.4483669,11.2102768,TILDE BODOR,DANDASO,1160510017,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,204,94,298
GOMBE,FUNAKAYE,GIRL CHILD  PRIMARY SCHOOL BAJOGA,10.513,11.2555,BAJOGA WEST,DANJAJO STREET  ALONG TIKE ROARD BAJOGA,1160510018,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,0,2042,2042
GOMBE,FUNAKAYE,MARGAMANI   PRIMARY SCHOOL,,,JILLAHI,MARGAMANI,1160510019,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,Yes,No,Yes,2020/2021,104,146,250
GOMBE,FUNAKAYE,KARI WAWA NOMADIC PRIMARY SCHOOL,10.75227,11.437429,WAWA WAKALTU,KARIWAWA,1160510020,Pre-Primary and Primary,Rural,Nomadic (Migrants),No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,82,86,168
GOMBE,FUNAKAYE,MANAWASHI. ASHAKA PRIMARY SCHOOL,10.847327,11.523902,ASHAKA MAGABA,MANAWASHI,1160510021,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,361,228,589
GOMBE,FUNAKAYE,GARIN DOGO   PRIMARY SCHOOL,10.459,11.29,RIBADU,GARIN DOGO,1160510022,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,No,2020/2021,125,30,155
GOMBE,FUNAKAYE,DARUMFA PRIMARY SCHOOL,10.900986,11.417559,BAGE,DARUMFA,1160510023,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,First Aid Kit,Yes,Yes,No,2020/2021,887,817,1704
GOMBE,FUNAKAYE,KOMI BOLEWA   PRIMARY SCHOOL,10.53841,11.02928,WAWA WAKALTU,KOMI BOLEWA,1160510024,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,174,122,296
GOMBE,FUNAKAYE,KAFIWOL PRIMARY SCHOOL,10.992005,11.436252,BAGE WARD BAJOGA,KAFIWOL,1160510025,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,Yes,No,2020/2021,261,86,347
GOMBE,FUNAKAYE,WAWA PRIMARY SCHOOL,10.79379,11.12455,WAWA WAKALTU,WAWA,1160510026,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,467,254,721
GOMBE,FUNAKAYE,JILLAHI   PRIMARY SCHOOL,10.46494,11.2411618,JILLAHI,JILLAHI,1160510027,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,274,196,470
GOMBE,FUNAKAYE,NAYINAWA   PRIMARY SCHOOL,11.009168,11.440793,,NAYINAWA,1160510028,Pre-Primary and Primary,Rural,Regular,No,Other,First Aid Kit,Yes,No,Yes,2020/2021,86,66,152
