state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,KALTUNGO,OKWALDI PRIMARY SCHOOL,9.812933,11.385388,TURE,OKWALDI,1160710002,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,78,57,135
GOMBE,KALTUNGO,NASARAWA KALTUNGO PRIMARY SCHOOL,,,KALTUNGO WEST,"YOLA ROAD, CLOSE TO GSSS KALTUNGO, NASARAWA",1160710003,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,210,264,474
GOMBE,KALTUNGO,TERMANA PRIMARY SCHOOL,9.822804,11.300691,KALTUNGO WEST,ALONG KULISHING DRIVE TERMANA,1160710004,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,238,272,510
GOMBE,KALTUNGO,SWATU PRIMARY SCHOOL,9.81,11.0,WANGE,SWATU   BAYILI,1160710005,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,Yes,2020/2021,96,90,186
GOMBE,KALTUNGO,GUJUBA PRIMARY SCHOOL,9.9442,11.32744,kamo,GUJUBA,1160710006,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,Yes,2020/2021,269,259,528
GOMBE,KALTUNGO,JAURO ALI   PRIMARY SCHOOL,10.040866,11.623349,BAULE KALTIN,"DOGON RUWA TALASSE ROAD, NEAR CEMETRY",1160710007,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,145,93,238
GOMBE,KALTUNGO,WUNTA PRIMARY SCHOOL,9.870405,11.404887,AWAK,WUNTA,1160710008,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,Yes,2020/2021,87,102,189
GOMBE,KALTUNGO,BILKITAMAN PRIMARY SCHOOL,,,BAULE CENTRAL,"BILKITAMAN, BY JAURO SUNUSI BILKITAMAN BAULE TULA",1160710009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,98,71,169
GOMBE,KALTUNGO,YANSALE PRIMARY SCHOOL,9.539628,11.380963,TULA,YANSALE BAULE TULA,1160710011,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,Yes,No,2020/2021,135,128,263
GOMBE,KALTUNGO,LAMANDAJI PRIMARY SCHOOL,,,KAMO,KAMO LAMANDAJI,1160710012,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,55,41,96
GOMBE,KALTUNGO,PANDI PRIMARY SCHOOL,9.816799,11.362115,TURE,PANDI ALONG YOLA GOMBE ROAD,1160710013,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,Yes,2020/2021,110,175,285
GOMBE,KALTUNGO,FANTAMI PRIMARY SCHOOL KALTUNGO,9.71512,11.44844,WANGE,"FANTAMI, ALONG YOLA ROAD KALTUNGO",1160710014,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,Yes,2020/2021,278,233,511
GOMBE,KALTUNGO,KALUWA PRIMARY SCHOOL,9.7036,11.43481,KALTUNGO EAST,KALUWA ALONG YOLA ROAD,1160710015,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,128,130,258
GOMBE,KALTUNGO,LAPANDIMTAI NURSERY AND PRIMARY SCHOOL,9.820177,11.326372,KALTUNGO WEST,"LAPANDIMTAI, BEHIND MAI KALTUNGO'S PALACE",1160710016,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,153,148,301
GOMBE,KALTUNGO,TURE PILOT PRIMARY SCHOOL,9.825,11.477,TURE,TURE MAI ALONG YOLA ROAD,1160710017,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,122,133,255
GOMBE,KALTUNGO,LAKOLING PRIMARY SCHOOL,9830945.0,11.292365,KALTUNGO WEST,LAKOLING,1160710018,Pre-Primary and Primary,Urban,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,118,79,197
