state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,KWAMI,CENTRAL NURSERY AND PRIMARY SCHOOL MALAM SIDI,,,KWAMI,MALAM SIDI     024 AJIYA ABDULLAHI STREET,1160810001,Pre-Primary and Primary,Urban,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,456,472,928
GOMBE,KWAMI,KWAMI PRIMARY SCHOOL,10.38486,11.09712,,KWAMI,1160810002,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,458,454,912
GOMBE,KWAMI,JIJJI GADAM     PRIMARY SCHOOL,10.474195,11.119111,KWAMI,GADAM   EMIRS DRIVE BESIDE MAIN MARKET GADAM,1160810003,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,690,647,1337
GOMBE,KWAMI,DOHO PILOT PRIMARY SCHOOL,10.2895,11.2643,DAHO,DOHO ALONG ASHAKA ROAD,1160810004,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,No,No,2020/2021,416,370,786
GOMBE,KWAMI,BOJUDE ELF,10.54068,11.0275,KWAMI,BOJUDE,1160810006,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,269,275,544
GOMBE,KWAMI,KOMFULATA  PRIMARY AND ECCDE SCHOOL,10.38026,11.05439,KOMFULATA,KWAMI ABUJA BOMALA ROAD,1160810007,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,Yes,2020/2021,165,141,306
GOMBE,KWAMI,TAPPI PRIMARY SCHOOL,,,GADAM,TAPPI,1160810008,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,No,2020/2021,273,196,469
GOMBE,KWAMI,DUKUL PRIMARY AND ECCDE,9.36978,11.224303,DUKUL,NORTHERN PART OF DUKUL DUKUL,1160810009,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,454,216,670
GOMBE,KWAMI,DABANFULANI  PRIMARY SCHOOL,10.253311,11.22424,DABAN FULANI,DISTRICT HEAD DRIVE DABA,1160810010,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,795,595,1390
GOMBE,KWAMI,MALLERI PRIMARY SCHOOL,10.44338,11.231,MALLERI,ALONG DAM SITE MALLERI,1160810011,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,No,2020/2021,253,142,395
GOMBE,KWAMI,JURARA PRIMARY AND ECCDE,,,JURARA,ALONG DABAN FULANI ROAD,1160810012,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,Yes,No,2020/2021,384,240,624
GOMBE,KWAMI,ZONGOMAKYARI,10.469351,11.27875,MALAM SIDI,ASHAKA ROAD NEAR MALAM SIDI ZONGOMAKYARI,1160810013,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,Yes,2020/2021,241,195,436
GOMBE,KWAMI,Z/KURUGU,10.493338,11.311215,MALAM SIDI,Z/KURUGU,1160810014,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,147,108,255
GOMBE,KWAMI,JAURO BAKARI,10.49521,11.032457,GADAM,JAURO BAKARI,1160810015,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,134,60,194
GOMBE,KWAMI,KALAJANGA,10.471289,10.47565,GADAM,KALAJANGA,1160810016,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,78,61,139
GOMBE,KWAMI,GERKWAMI PRIMARY SCHOOL,,,KWAMI,GERKWAMI,1160810017,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,No,No,No,2020/2021,346,241,587
GOMBE,KWAMI,BAMALA PRIMARY SCHOOL,10.497281,11.054434,GADAM,BAMALA,1160810018,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,49,34,83
GOMBE,KWAMI,BULA BARDE,10.37132,10.9873,KWAMI,"UNGUWAN KUDU NEAR GJSS BOMALA ,BULA BARDE",1160810019,Pre-Primary and Primary,Rural,Regular,No,Well,No Health facility,No,No,No,2020/2021,516,371,887
GOMBE,KWAMI,G/SARKINNOMA,10.378236,10.978768,KOMFULATA,G/SARKIN NOMA DOKARI NORTH WEST OF THE RAIL CROSSING,1160810020,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,No Health facility,No,Yes,Yes,2020/2021,131,97,228
GOMBE,KWAMI,S. S/YAKI PRI SCHOOL,,,KOMFULATA,SHONGO  S/YAKI,1160810021,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,No,2020/2021,280,132,412
GOMBE,KWAMI,MALARI,,,KWAMI,MALARI,1160810022,Pre-Primary and Primary,Rural,Regular,No,Other,No Health facility,Yes,No,No,2020/2021,115,70,185
GOMBE,KWAMI,TINDA,10.46337,11.26779,KWAMI,TINDA  NEAR UPPER BENUE SITE,1160810024,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,165,40,205
GOMBE,KWAMI,GARIN KAROFI PRIMARY SCHOOL,10.261948,11.225033,DABAN FULANI,GARIN KARAGI,1160810025,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,Yes,2020/2021,55,48,103
GOMBE,KWAMI,WURO JABE   PRIMARY SCHOOL,10.235276,11.225058,DABAN FULANI,ALONG LUBO ROAD WURO JABE,1160810026,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,Yes,No,2020/2021,180,122,302
GOMBE,KWAMI,JAURO YAYA,10.273938,11.221163,DABAN FULANI,JAURO YAYA,1160810027,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,Yes,2020/2021,96,67,163
GOMBE,KWAMI,FESHARE    PRIMARY SCHOOL,10.241737,11.214006,DABAN FULANI,FESHARE,1160810028,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,Yes,No,Yes,2020/2021,115,52,167
GOMBE,KWAMI,TUMBUSHI,10.252199,11.231244,DABAN FULANI,"EASTERN PART OF DABAN FULANI, TUMBUSHI",1160810029,Pre-Primary and Primary,Rural,Regular,No,Well,First Aid Kit,No,No,Yes,2020/2021,222,152,374
GOMBE,KWAMI,JAURO ISA,10.46514,11.27066,JURARA,ALONG JURARA ROAD,1160810030,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,115,77,192
GOMBE,KWAMI,WURO JOYE,,,DUKUL,WURO JOYE,1160810031,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,213,115,328
GOMBE,KWAMI,ALLUGEL,10.352292,11.27416,DUKUL,ALLUGEL,1160810032,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,Yes,No,Yes,2020/2021,148,82,230
GOMBE,KWAMI,SHANI FULANI PRIMARY SCHOOL,9.36421,11.282481,DUKUL,NEAR UPPER BENUE DAM,1160810033,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,158,71,229
