state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,NAFADA,NAFADA CENTRAL,11.095073,11.338605,NAFADA EAST,"NEAR LGEA HEADQUATERS, NAFADA   TOWN",1160910001,Pre-Primary and Primary,Urban,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,847,847,1694
GOMBE,NAFADA,NAFADA WEST PRIMARY SCHOOL,11.094388,11.339888,NAFADAM WEST,SANI ABACHA ROAD UNGUWAR GALADIMA,1160910002,Pre-Primary and Primary,Urban,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,755,620,1375
GOMBE,NAFADA,BIRI I PRIMARY SCHOOL,10.914942,11.276762,BIRI EAST,SARKIN YAKI STREET,1160910003,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,329,225,554
GOMBE,NAFADA,BIRI II PRIMARY SCHOOL,10.912907,11.269448,BIRIN FULANI WEST,UNGUWAN WALI BIRIN FULANI,1160910004,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,571,368,939
GOMBE,NAFADA,BARWO WINDE,11.09764,11.26255,BARWO WINDE,BARWO WINDE  BARWO NASARAWO ROAD,1160910005,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,861,611,1472
GOMBE,NAFADA,BARWO NASARAWO PRIMARY SCHOOL,11.10213,11.10213,BARWO NASARAWO,BARWO NASARAWO,1160910006,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,350,154,504
GOMBE,NAFADA,SHOLE JADA PRI. SCHOOL,11.088258,11.355641,NAFADA EAST,SHOLE,1160910007,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,Yes,2020/2021,216,171,387
GOMBE,NAFADA,PRIMARY SCHOOL JIGAWA,11.1606,11.10088,JIGAWA,JIGAWA,1160910008,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,483,432,915
GOMBE,NAFADA,GUDUKKU PRIMARY SCHOOL,11.868822,11.155641,GUDUKKU,GUDUKKU,1160910009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,251,184,435
GOMBE,NAFADA,KIYAYO P .S,,,JIGAWA,KIYAYO,1160910010,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,426,286,712
