state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,SHONGOM,KULISHIN PRIMARY SCHOOL,9.809215,11.27242,KULISHIN,AMNATAR STREET KULISHIN,1161010001,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,72,66,138
GOMBE,SHONGOM,PILOT SCI. PRIMARY SCHOOL LAPAN,,11.282791,,OFF KALTUNGO ROAD LAPAN,1161010002,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,Yes,No,2020/2021,354,339,693
GOMBE,SHONGOM,PERO PRIMARY SCHOOL,,,SHONGOM,AFTER FILIYA MAIN MARKET FILIYA,1161010003,Pre-Primary and Primary,Rural,Regular,Yes,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,563,562,1125
GOMBE,SHONGOM,FILIYA PRIMARY SCHOOL,9.34598305,11.7850346,,NEAR [POLICE STATION FILIYA,1161010004,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,433,429,862
GOMBE,SHONGOM,LALAIPIDO NURSERY AND PRIMARY SCHOOL,,,LALAIPIDO,ALONG LAKENTURUM ROAD LALAIPIDO,1161010005,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,164,160,324
GOMBE,SHONGOM,GWANDUM PRIMARY SCHOOL,9.569743,11.086032,GWANDUM,NEAR HON SATI ALHASSAN RESIDENT,1161010006,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,469,471,940
GOMBE,SHONGOM,KUSHI PRIMARY SCHOOL,9.6059395,11.2077154,KUSHI,ALONG BURAK BANGUNJI ROAD,1161010007,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,Yes,No,2020/2021,423,387,810
GOMBE,SHONGOM,MAJIDADI,9.619618,11.005074,GWANDUM,UNGUWAN YELWA,1161010008,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,No,No,No,2020/2021,198,260,458
GOMBE,SHONGOM,BURAK PRIMARY SCHOOL,9.62467,11.27393,BURAK,NEAR DISTRICT HEAD PALACE,1161010009,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,Yes,2020/2021,112,123,235
GOMBE,SHONGOM,BANGUNJI PRIMARY SCHOOL,9.634913,11.3433,,NEAR GOVT DAY SEC. SCH. BANGUNJI,1161010010,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,Yes,2020/2021,151,128,279
