state,lga,name_school,latitude_north,longitude_east,ward,number_and_street,code_school,name_type_sector,name_type_location,name_type_school,shift_system_y_n,name_type_water_source,name_type_health_facility,any_classes_held_outside_y_n,shared_facilities_y_n,multi_grade_y_n,name_type_year,male_enrol,female_enrol,total erlrolment
GOMBE,YAMALTU/DEBA,BELLO CENTRAL PRIMARY SCHOOL D/KOWA,10.28266,11.49223,HINNA,"ALONG EMIR PALACE,DADINKOWA",1161110001,Pre-Primary and Primary,Rural,Regular,No,Pipe borne Water,First Aid Kit,No,Yes,Yes,2020/2021,1088,1032,2120
GOMBE,YAMALTU/DEBA,HINNA PRI. SCH.,10.29,11.5,HINNA,NEAR UNGUWAR GALADIMA HINNA,1161110002,Pre-Primary and Primary,Rural,Regular,No,Pipe borne Water,First Aid Kit,No,No,No,2020/2021,499,424,923
GOMBE,YAMALTU/DEBA,TUNGA P.S. DADIN-KOWA,10.29,11.5,HINNA,TUNGA BIU ROAD,1161110003,Pre-Primary and Primary,Rural,Regular,No,Other,No Health facility,No,No,No,2020/2021,215,238,453
GOMBE,YAMALTU/DEBA,KURI CENTRAL PRIMARY SCHOOL,10.1419444,11.454678,KURI/LANO/LAMBAM,"UNGUWAN SARKIN YAKI, KURI",1161110004,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,Yes,No,No,2020/2021,1063,662,1725
GOMBE,YAMALTU/DEBA,LANO,,,LANO KURI LAMBAM,"ALONG BALANGA LOCAL GOVERNMENT ROAD, LANO",1161110005,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,178,132,310
GOMBE,YAMALTU/DEBA,NEW LIJI  PRIMARY ECCDE SCHOOL,,,KWADON LIJI KURBA,BIU ROAD,1161110006,Pre-Primary and Primary,Rural,Regular,No,Pipe borne Water,First Aid Kit,Yes,Yes,No,2020/2021,1216,932,2148
GOMBE,YAMALTU/DEBA,LAMBAM PRIMARY SCHOOL,10.06624,11.50859,KURI/LANO/LAMBAM,NEAR LAMBAM MATERNITY CLINIC,1161110007,Pre-Primary and Primary,Rural,Regular,No,Borehole,No Health facility,Yes,Yes,No,2020/2021,156,84,240
GOMBE,YAMALTU/DEBA,KURBA PRIMARY SCHOOL,10.34661,11.214415,KWADON LIJI KURBA,KURBA   AT BACK OF GOMBE STATE UNIVERSITY,1161110008,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,No,No,2020/2021,189,154,343
GOMBE,YAMALTU/DEBA,KWADON CENTRAL NURSARY/PRIMARY SCHOOL,10.276256,11.286926,KWADON LIJI KURBA,NEAR POLICE KWADON,1161110009,Pre-Primary and Primary,Rural,Regular,No,Borehole,First Aid Kit,No,No,No,2020/2021,1552,1353,2905
GOMBE,YAMALTU/DEBA,DASA,10.077382,11.597927,JAGALI NORTH,DASA,1161110010,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,No,Yes,No,2020/2021,256,135,391
GOMBE,YAMALTU/DEBA,MAIKAHO NN/P SCHOOL,10.095214,11.55746,MAIKAHO,NEAR EMIRA PALACE,1161110011,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,First Aid Kit,Yes,No,No,2020/2021,189,140,329
GOMBE,YAMALTU/DEBA,JANNAWO PRIMARY SCHOOL,10.231822,11.315304,,NEAR KACHALLARI VILLAGE,1161110012,Pre-Primary and Primary,Rural,Regular,No,No Source of Safe Water,No Health facility,Yes,No,No,2020/2021,196,92,288
